ID,Coordenadas,Features,Cluster
298,"[43, -34]","[298.0, 19.739978, 10.668237, 6.763737, 183.005182, 7.543151]",3
244,"[18, -40]","[244.0, 7.662933, 1.571353, -6.366315, 50.939308, 4.33222]",3
243,"[18, -41]","[243.0, 1.089194, 2.691358, 0.0, 62.782559, 10.639031]",3
242,"[17, -40]","[242.0, 15.328626, 12.439411, 8.692953, 143.741967, 22.0]",3
235,"[14, -41]","[235.0, 19.312186, 13.053305, 8.733333, 176.74216, 18.875011]",3
231,"[13, -40]","[231.0, 10.496912, 2.979142, -4.705951, 23.139784, 8.949501]",3
213,"[6, -39]","[213.0, 12.755175, 11.251123, 5.073943, 161.249882, 17.153478]",3
290,"[38, -38]","[290.0, 7.819712, 4.516267, -1.740804, 51.293346, 8.330657]",3
256,"[24, -37]","[256.0, 9.372223, 7.103554, -0.0, 74.314304, 16.405493]",3
252,"[23, -38]","[252.0, 12.731722, 1.137814, -4.397289, 104.927469, 16.68028]",3
220,"[9, -37]","[220.0, 17.799856, 12.306158, 8.733333, 151.695315, 15.770625]",3
214,"[7, -38]","[214.0, 15.860908, 10.985549, 8.614897, 148.312772, 20.286679]",3
271,"[28, -22]","[271.0, 7.015013, 7.588749, -0.0, 81.205006, 15.222094]",3
264,"[27, -22]","[264.0, 7.380193, 3.100633, -7.003344, 42.10037, 16.362006]",3
267,"[27, -23]","[267.0, 7.913017, 4.793996, -3.056093, 78.746423, 20.513523]",3
260,"[26, -22]","[260.0, 9.334684, 2.52893, -5.026304, 43.192606, 1.013136]",3
250,"[22, -22]","[250.0, 6.680307, 3.388827, -8.524302, 179.688827, 5.634415]",3
229,"[13, -23]","[229.0, 17.018116, 14.942021, 8.733333, 33.953413, 9.329866]",3
219,"[8, -23]","[219.0, 9.518317, 4.877865, -0.425998, 43.020414, 5.543621]",3
210,"[5, -19]","[210.0, 14.008041, 9.224688, 3.665201, 81.38048, 16.555757]",3
217,"[7, -12]","[217.0, 9.317664, 3.441327, -5.196806, 41.731858, 7.579035]",3
257,"[24, -21]","[257.0, 16.845787, 11.522617, 8.513879, 171.962505, 21.963084]",3
270,"[28, -15]","[270.0, 12.163163, 12.401125, 8.545729, 177.446732, 17.389535]",3
266,"[27, -5]","[266.0, 18.160525, 12.194551, 8.733333, 161.172706, 19.982677]",3
265,"[27, -16]","[265.0, 8.222733, 6.467307, 0.0, 72.993798, 16.836634]",3
248,"[21, -19]","[248.0, 16.546764, 11.221906, 8.669811, 175.826207, 17.125525]",3
224,"[9, -19]","[224.0, 7.160145, 7.107339, -0.0, 99.443978, 16.801704]",3
254,"[23, -18]","[254.0, 13.327698, 7.702873, 2.83339, 76.463774, 15.792697]",3
259,"[26, -17]","[259.0, 16.005693, 2.135096, -4.334032, 48.563463, 17.357643]",3
258,"[25, -7]","[258.0, 6.037013, 1.530605, -8.699018, 41.269293, 11.086559]",3
255,"[23, -16]","[255.0, 13.413882, 7.270753, 2.953129, 84.966844, 15.500035]",3
251,"[22, -16]","[251.0, 15.2597, 13.768992, 8.686053, 168.768032, 22.0]",3
246,"[19, -10]","[246.0, 8.139177, 6.423795, -0.0, 108.934128, 14.587328]",3
225,"[9, -16]","[225.0, 13.93234, 12.626279, 8.484395, 149.364388, 20.942345]",3
230,"[13, -7]","[230.0, 13.224837, 11.207052, 5.28139, 147.631816, 21.283601]",3
226,"[10, -8]","[226.0, 9.666871, 8.600292, -0.0, 75.743683, 16.059571]",3
228,"[12, -5]","[228.0, 9.655288, 3.664734, -5.154789, 40.749415, 4.870675]",3
218,"[7, -3]","[218.0, 15.874798, 11.714314, 8.637468, 167.448997, 19.723361]",3
93,"[-1, -5]","[93.0, 14.915804, 8.905569, 0.733333, 67.994829, 13.857434]",3
100,"[-2, -44]","[100.0, 6.999441, 6.987301, -0.0, 65.377168, 15.265233]",3
